,campaign_id,campaign_name,start_date,end_date,channel,impressions,clicks,spend,conversions,active,campaign_tag,season
0,CMP-00001,Q4_Summer_CMP-00001,2023-11-24,2023-12-13,TikTok,16795,197,10282,20.0,True,TI,Summer
1,CMP-00002,Q1_Launch_CMP-00002,2023-05-06,2023-05-12,Facebook,1860,30,2433,1.0,False,FA,Launch
2,CMP-00003,Q3_Winter_CMP-00003,2023-12-13,2023-12-20,Email,77820,843,132339,51.0,False,EM,Winter
3,CMP-00004,Q1_BlackFriday_CMP-00004,2023-10-30,2023-11-03,TikTok,55886,2019,218038,135.0,False,TI,BlackFriday
4,CMP-00005,Q2_Winter_CMP-00005,2023-04-22,2023-04-23,Facebook,7265,169,25244,30.0,True,FA,Winter
5,CMP-00006,Q4_BlackFriday_CMP-00006,2023-10-15,2023-10-28,Instagram,83386,2643,269703,,True,IN,BlackFriday
6,CMP-00007,Q3_Launch_CMP-00007,2023-10-07,2023-10-23,Facebook,38194,1135,123276,178.0,True,FA,Launch
7,CMP-00008,Q4_Launch_CMP-00008,2023-05-23,2023-05-28,Instagram,88498,1173,8657,127.0,True,IN,Launch
8,CMP-00009,Q4_BlackFriday_CMP-00009,2023-03-23,2023-04-01,Google Ads,45131,1179,104618,104.0,True,GO,BlackFriday
9,CMP-00010,Q2_Winter_CMP-00010,2023-03-21,2023-04-01,Email,61263,1153,162356,,False,EM,Winter
10,CMP-00011,Q4_Launch_CMP-00011,2023-02-22,2023-03-01,Instagram,17023,455,52313,76.0,True,IN,Launch
11,CMP-00012,Q4_Launch_CMP-00012,2023-02-19,2023-02-20,Google Ads,42090,763,126769,109.0,False,GO,Launch
12,CMP-00013,Q2_Launch_CMP-00013,2023-05-16,2023-06-01,Google Ads,68221,2975,529216,567.0,False,GO,Launch
13,CMP-00014,Q1_Launch_CMP-00014,2023-10-02,2023-10-15,TikTok,65820,1116,146472,169.0,True,TI,Launch
14,CMP-00015,Q2_Summer_CMP-00015,2023-02-10,2023-02-16,Google Ads,1769,85,13918,11.0,True,GO,Summer
15,CMP-00016,Q2_BlackFriday_CMP-00016,2023-11-13,2023-11-23,Email,60735,1617,15529,228.0,True,E-,BlackFriday
16,CMP-00017,Q1_Winter_CMP-00017,2023-04-09,2023-10-01,Email,63955,2804,314737,536.0,False,EM,Winter
17,CMP-00018,Q1_BlackFriday_CMP-00018,2023-04-27,2023-05-25,Instagram,65925,2317,363576,389.0,False,IN,BlackFriday
18,CMP-00019,Q4_Winter_CMP-00019,2023-04-30,2023-05-18,Facebook,68969,2718,293359,145.0,False,FA,Winter
19,CMP-00020,Q1_Summer_CMP-00020,2023-08-21,2023-08-30,Email,6311,256,35399,,True,INVALID,Summer
20,CMP-00021,Q3_BlackFriday_CMP-00021,2023-07-09,2023-07-17,Facebook,84104,2539,197549,,True,FA,BlackFriday
21,CMP-00022,Q2_BlackFriday_CMP-00022,2023-12-26,2024-01-02,Google Ads,54707,1735,24284,,True,GO,BlackFriday
22,CMP-00023,Q4_Winter_CMP-00023,2023-11-08,2023-11-24,Google Ads,86305,2637,472622,216.0,False,GO,Winter
23,CMP-00024,Q4_Winter_CMP-00024,2023-05-06,2023-06-05,Instagram,29693,995,179394,179.0,False,IN,Winter
24,CMP-00025,Q2_Winter_CMP-00025,2023-11-24,2023-12-18,Email,72932,815,129301,157.0,False,EM,Winter
25,CMP-00026,Q1_Winter_CMP-00026,2023-06-16,2023-07-02,Google Ads,94016,2427,392842,207.0,False,GO,Winter
26,CMP-00027,Q1_Winter_CMP-00027,2023-04-28,2023-05-12,TikTok,26658,912,121924,166.0,False,TI,Winter
27,CMP-00028,Q4_Summer_CMP-00028,2023-07-25,2023-08-08,Email,85478,2898,399055,187.0,True,EM,Summer
28,CMP-00029,Q4_BlackFriday_CMP-00029,2023-10-18,2023-11-15,Instagram,19431,810,56739,47.0,True,IN,BlackFriday
29,CMP-00030,Q1_Summer_CMP-00030,2023-12-02,2023-12-08,Instagram,3747,135,15738,9.0,False,IN,Summer
30,CMP-00031,Q1_Launch_CMP-00031,2023-11-26,2023-12-12,Google Ads,60150,2988,351438,175.0,True,GO,Launch
31,CMP-00032,Q2_Summer_CMP-00032,2023-05-07,2023-05-29,Instagram,66725,1424,275935,251.0,False,IN,Summer
32,CMP-00033,Q2_BlackFriday_CMP-00033,2023-10-27,2023-10-29,Instagram,85654,2087,239302,122.0,False,IN,BlackFriday
33,CMP-00034,Q2_Summer_CMP-00034,2023-07-05,2023-07-17,Facebook,36773,932,123398,84.0,False,FA,Summer
34,CMP-00035,Q2_Summer_CMP-00035,2023-09-18,2023-09-22,Instagram,68435,1959,254646,128.0,True,IN,Summer
35,CMP-00036,Q1_Launch_CMP-00036,2023-02-26,2023-03-01,TikTok,57886,2514,365823,237.0,True,TI,Launch
36,CMP-00037,Q2_Winter_CMP-00037,2023-12-15,2023-12-26,Instagram,67803,1317,213663,83.0,True,IN,Winter
37,CMP-00038,Q4_Winter_CMP-00038,2023-07-15,2023-08-07,TikTok,32551,1335,111815,200.0,True,TI,Winter
38,CMP-00039,Q3_Launch_CMP-00039,2023-05-09,2023-05-25,Email,12394,324,41896,22.0,True,EM,Launch
39,CMP-00040,Q4_BlackFriday_CMP-00040,2023-01-06,2023-01-26,Email,70092,2388,415244,424.0,False,EM,BlackFriday
40,CMP-00041,Q4_Summer_CMP-00041,2023-10-02,2023-10-12,Email,4890,172,20548,29.0,False,EM,Summer
41,CMP-00042,Q3_Summer_CMP-00042,2023-06-24,2023-06-29,TikTok,42606,1061,97367,55.0,True,TI,Summer
42,CMP-00043,Q2_Summer_CMP-00043,2023-08-21,2023-08-29,Instagram,97276,2967,439728,546.0,True,IN,Summer
43,CMP-00044,Q1_Winter_CMP-00044,2023-05-15,2023-06-01,Email,81038,2149,372991,116.0,True,E-,Winter
44,CMP-00045,Q2_Summer_CMP-00045,2023-09-17,2023-10-03,TikTok,88313,1127,67024,96.0,False,TI,Summer
45,CMP-00046,Q4_Launch_CMP-00046,2023-06-02,2023-06-28,Instagram,11627,319,53119,17.0,False,IN,Launch
46,CMP-00047,Q4_BlackFriday_CMP-00047,2023-04-12,2023-04-19,Google Ads,9792,136,23562,13.0,True,GO,BlackFriday
47,CMP-00048,Q3_Winter_CMP-00048,2023-10-04,2023-10-18,Email,74969,1964,234165,249.0,True,EM,Winter
48,CMP-00049,Q4_Winter_CMP-00049,2023-01-01,2023-01-17,Facebook,44001,1483,292886,,False,FA,Winter
49,CMP-00050,Q3_Summer_CMP-00050,2023-02-27,2023-02-28,Email,77552,2572,432112,258.0,False,INVALID,Summer
50,CMP-00051,Q4_Winter_CMP-00051,2023-06-07,2023-06-17,Google Ads,24897,908,150773,141.0,True,GO,Winter
51,CMP-00052,Q2_Launch_CMP-00052,2023-10-18,2023-11-08,TikTok,69148,954,154716,74.0,False,TI,Launch
52,CMP-00053,Q1_Winter_CMP-00053,2023-09-06,2023-09-12,Facebook,24483,883,64098,,False,FA,Winter
53,CMP-00054,Q4_Winter_CMP-00054,2023-09-30,2023-10-11,,49555,1114,91999,95.0,False,XX,Winter
54,CMP-00055,Q1_Launch_CMP-00055,2023-09-01,2023-10-01,Google Ads,18159,471,56331,33.0,False,GO,Launch
55,CMP-00056,Q4_BlackFriday_CMP-00056,2023-09-28,2023-10-08,Facebook,81077,3593,321935,279.0,False,FA,BlackFriday
56,CMP-00057,Q4_Launch_CMP-00057,2023-04-19,2023-05-11,Email,36920,382,42893,29.0,True,EM,Launch
57,CMP-00058,Q2_Summer_CMP-00058,2023-12-20,2024-01-09,TikTok,93067,3121,571984,396.0,False,TI,Summer
58,CMP-00059,Q3_Launch_CMP-00059,2023-12-10,2023-12-24,Facebook,68121,2312,401477,408.0,True,FA,Launch
59,CMP-00060,Q2_BlackFriday_CMP-00060,2023-09-22,2023-10-12,Email,70479,1823,263434,112.0,True,EM,BlackFriday
60,CMP-00061,Q1_Summer_CMP-00061,2023-02-02,2023-02-06,Google Ads,90475,1762,314901,274.0,True,GO,Summer
61,CMP-00062,Q1_BlackFriday_CMP-00062,2023-04-28,2023-05-18,Google Ads,20457,396,66356,58.0,True,GO,BlackFriday
62,CMP-00063,Q3_Summer_CMP-00063,2023-12-29,2024-01-03,Facebook,67557,3063,350247,554.0,False,FA,Summer
63,CMP-00064,Q2_BlackFriday_CMP-00064,2023-01-17,2023-02-03,Email,78189,2164,173466,187.0,False,EM,BlackFriday
64,CMP-00065,Q2_Summer_CMP-00065,2023-05-02,2023-05-12,Email,79953,1857,236081,218.0,False,EM,Summer
65,CMP-00066,Q1_Winter_CMP-00066,2023-10-04,2023-10-15,TikTok,53995,1509,242095,285.0,True,TI,Winter
66,CMP-00067,Q1_BlackFriday_CMP-00067,2023-10-20,2023-11-13,Google Ads,41757,1535,177236,,True,GO,BlackFriday
67,CMP-00068,Q2_Winter_CMP-00068,2023-08-31,2023-09-12,Facebook,10692,169,25353,18.0,False,FA,Winter
68,CMP-00069,Q1_Winter_CMP-00069,2023-02-19,2023-03-17,Email,46758,1308,83907,91.0,True,EM,Winter
69,CMP-00070,Q3_Summer_CMP-00070,2023-07-30,2023-08-22,Email,73409,2460,399014,219.0,True,EM,Summer
70,CMP-00071,Q1_Launch_CMP-00071,2023-12-11,2024-01-08,TikTok,72211,3462,595142,474.0,True,TI,Launch
71,CMP-00072,Q1_Summer_CMP-00072,2023-02-01,2023-03-03,Email,66697,1340,209074,,True,EM,Summer
72,CMP-00073,Q3_Summer_CMP-00073,2023-02-25,2023-03-09,Google Ads,38065,927,180848,,False,GO,Summer
73,CMP-00074,Q3_Summer_CMP-00074,2023-08-18,2023-09-06,Email,93093,2343,407677,327.0,False,E-,Summer
74,CMP-00075,Q3_BlackFriday_CMP-00075,2023-08-25,2023-09-10,TikTok,33606,1150,213284,152.0,True,TI,BlackFriday
75,CMP-00076,Q4_Winter_CMP-00076,2023-08-15,2023-08-18,Email,12534,304,57771,38.0,True,EM,Winter
76,CMP-00077,Q3_Launch_CMP-00077,2023-02-20,2023-02-21,Google Ads,95663,2998,510266,460.0,False,GO,Launch
77,CMP-00078,Q3_Winter_CMP-00078,2023-10-04,2023-10-19,Email,41397,1708,258145,299.0,False,EM,Winter
78,CMP-00079,Q1_BlackFriday_CMP-00079,2023-05-02,2023-05-14,Google Ads,92387,3530,179528,347.0,True,GO,BlackFriday
79,CMP-00080,Q4_Summer_CMP-00080,2023-04-20,2023-05-04,Facebook,2016,56,6713,10.0,False,FA,Summer
